Unique_ID,Category,Facility,ItemNumber,Item Unit,ItemName,Substance Name,Waste (AER) Code,DATAAREAID
702015sesc,Standard,,702015,Tonnes,Landfill Disposal Class 1 - Industrial,Drilling Waste - Advanced Gel Chem,,sesc
702015sesc,Standard,,702015,Tonnes,Landfill Disposal Class 1 - Industrial,Drilling Waste - Gel Chem,,sesc
702015sesc,Standard,,702015,Tonnes,Landfill Disposal Class 1 - Industrial,Drilling Waste - Hydrocarbon,,sesc
702015sesc,Standard,,702015,Tonnes,Landfill Disposal Class 1 - Industrial,Empty Container,,sesc
702015sesc,Standard,,702015,Tonnes,Landfill Disposal Class 1 - Industrial,Frac Sand - Non Radioactive,,sesc
702015sesc,Standard,,702015,Tonnes,Landfill Disposal Class 1 - Industrial,Incinerator Ash,,sesc
702015sesc,Standard,,702015,Tonnes,Landfill Disposal Class 1 - Industrial,Liner,,sesc
702015sesc,Standard,,702015,Tonnes,Landfill Disposal Class 1 - Industrial,Metal (Scrap),,sesc
702015sesc,Standard,,702015,Tonnes,Landfill Disposal Class 1 - Industrial,Municipal Solid Waste,,sesc
702015sesc,Standard,,702015,Tonnes,Landfill Disposal Class 1 - Industrial,Contminated Soil (Pesticide/Herbicide),,sesc
702015sesc,Standard,,702015,Tonnes,Landfill Disposal Class 1 - Industrial,Sand - Produced,,sesc
702015sesc,Standard,,702015,Tonnes,Landfill Disposal Class 1 - Industrial,Sludge - Lime,,sesc
702015sesc,Standard,,702015,Tonnes,Landfill Disposal Class 1 - Industrial,Snow Melt,,sesc
702015sesc,Standard,,702015,Tonnes,Landfill Disposal Class 1 - Industrial,Wood (chemically treated/cooling tower),,sesc
702016sesc,Standard,,702016,Tonnes,Landfill Disposal Class 1 - NORM,Naturally Occuring Radioactive Materials,,sesc
702017sesc,Standard,,702017,Tonnes,Landfill Disposal - NORM,Naturally Occuring Radioactive Materials,,sesc
703023sesc,Standard,,703023,Tonnes,Clean Fill Sales,Clean Fill Sales,,sesc
704030sesu,Standard,,704030,BBL,Waste Water Disposal,Acid Solutions,,sesu
704030sesu,Standard,,704030,BBL,Waste Water Disposal,Boiler Blowdown Water,,sesu
704030sesu,Standard,,704030,BBL,Waste Water Disposal,"Caustic Solutions (unneutralized, spent)",,sesu
704030sesu,Standard,,704030,BBL,Waste Water Disposal,Corrosion Inhibitor/Oxygen Scavenger Solutions,,sesu
704030sesu,Standard,,704030,BBL,Waste Water Disposal,Filter Backwash Liquids (gas sweetening),,sesu
704030sesu,Standard,,704030,BBL,Waste Water Disposal,Filter Backwash Liquids (water treatment),,sesu
704030sesu,Standard,,704030,BBL,Waste Water Disposal,Glycol Solutions (no heavy metals),,sesu
704030sesu,Standard,,704030,BBL,Waste Water Disposal,Hydrotest Fluids - Methanol,,sesu
704030sesu,Standard,,704030,BBL,Waste Water Disposal,Non-Oilfield Class Ib Water (Secure Leachate Only),,sesu
704030sesu,Standard,,704030,BBL,Waste Water Disposal,Non-Oilfield Waste,,sesu
704030sesu,Standard,,704030,BBL,Waste Water Disposal,Pigging Waste (liquid & wax),,sesu
704030sesu,Standard,,704030,BBL,Waste Water Disposal,Saline Water/Brackish Water - TDS > 4000ppm,,sesu
704030sesu,Standard,,704030,BBL,Waste Water Disposal,Sludge - Emulsion,,sesu
704030sesu,Standard,,704030,BBL,Waste Water Disposal,Sludge - Hydrocarbon,,sesu
704030sesu,Standard,,704030,BBL,Waste Water Disposal,Sweetening Agents (liquids),,sesu
704030sesu,Standard,,704030,BBL,Waste Water Disposal,Wash Fluids - Organic,,sesu
704030sesu,Standard,,704030,BBL,Waste Water Disposal,Wash Fluids - Water,,sesu
704030sesu,Standard,,704030,BBL,Waste Water Disposal,Waste - Miscellaneous,,sesu
704030sesu,Standard,,704030,BBL,Waste Water Disposal,Waste Flammable Liquid,,sesu
704030sesu,Standard,,704030,BBL,Waste Water Disposal,Water - Process (with heavy metals),,sesu
704030sesu,Standard,,704030,BBL,Waste Water Disposal,Water Process (with organic chemicals,,sesu
704030sesu,Standard,,704030,BBL,Waste Water Disposal,Water-Contaminated Produced (Incl Brine Solutions),,sesu
704030sesu,Standard,,704030,BBL,Waste Water Disposal,Waters Contaminated (collected surface waters),,sesu
704030sesu,Standard,,704030,BBL,Waste Water Disposal,Well Workover Fluids,,sesu
704031sesu,Standard,,704031,BBL,Produced Water Disposal,Sour Produced Water,,sesu
704031sesu,Standard,,704031,BBL,Produced Water Disposal,Sweet Produced Water,,sesu
704032sesu,Standard,,704032,BBL,Flowback Water,Frac Fluid,,sesu
704035sesu,Standard,,704035,BBL,Industrial Water Disposal,Crude Oil Terminal Waste Water,,sesu
704035sesu,Standard,,704035,BBL,Industrial Water Disposal,Gas Plant Cooling Tower Waste,,sesu
704035sesu,Standard,,704035,BBL,Industrial Water Disposal,Industrial Water,,sesu
704035sesu,Standard,,704035,BBL,Industrial Water Disposal,Industrial Water - Haz,,sesu
704035sesu,Standard,,704035,BBL,Industrial Water Disposal,Landfill Leachate,,sesu
704035sesu,Standard,,704035,BBL,Industrial Water Disposal,Non Exempt-Non Haz Rinsate,,sesu
